"","Value","Count","MapCode","Name","Biome","Bioregion","Nat.1750km2","Nat.1990km2","Nat.2014km2","Nat.2018km2","Nat.2020km2","Nat.2022km2","Nat.2040ard_90.22","Natlost.2022km2","Natlost.90_22km2","SeconNat.2022km2","ArtWtrBodies.2022km2","Builtup.2022km2","Croplands.2022km2","Mines.2022km2","Plantation.2022km2","ARD14.22","ARD18.22","ARD20.22","ARD90.14","ARD90.18","ARD90.20","ARD90.22","EOOkm2","AOO occ","AOO1prc","PrcNat.2022","PrcNat.2040ard_1990.2022","PrcNatlost.2022","PrcNatlost.2040ard_90.22","PrcDeclyr90.22","PrcSeconNat.2022","PrcArtWtrBodies.2022","PrcBuiltup.2022","PrcCroplands.2022","PrcMines.2022","PrcPlantation.2022","Status90.22","EOOstatus.size","AOOstatus.size","A2b","A3","B1i","B2i","RLEcore","ThrExcl.core","Basis.RLEcore"
"239",239,497371,"Gh2","Aliwal North Dry Grassland","Grassland","Dry Highveld Grassland Bioregion",7163.1272,5891.2316,5755.8828,5684.9944,5669.4512,5660.3984,5530.55,1502.7288,0.0391825030270411,390.3508,72.3248,20.4056,983.2896,0.9472,35.4108,11.93555,6.14899999999989,4.52640000000019,5.63953333333332,7.3656142857143,7.39267999999999,7.2135375,15310.0629531409,137,130,79,94,21,6,0.1,5,1,0,14,0,0,"Stable","EN","LC","LC","LC","LC","LC","LC","",""
"240",240,930005,"Gh3","Xhariep Karroid Grassland","Grassland","Dry Highveld Grassland Bioregion",13392.432,12578.9412,12474.3344,12395.1452,12378.8208,12357.0376,12232.22,1035.3944,0.0176408806172017,261.0556,269.526,33.9172,429.2996,4.5144,37.0816,14.6621,9.5269000000003,10.8915999999999,4.35861666666665,6.5641428571428,6.67067999999999,6.93448749999999,22584.0550739337,218,204,92,97,8,3,0.1,2,2,0,3,0,0,"Stable","VU","LC","LC","LC","LC","LC","LC","",""
"241",241,672081,"Gh4","Besemkaree Koppies Shrubland","Grassland","Dry Highveld Grassland Bioregion",9677.7636,9336.2976,9301.95,9263.7956,9258.2216,9249.1436,9200.12,428.62,0.00933496378692989,101.5968,173.494,18.9244,118.5804,2.09,13.9344,6.60080000000016,3.66300000000001,4.53900000000067,1.43114999999996,2.58935714285716,2.6025333333333,2.72356250000001,58590.3654702867,451,417,96,99,4,1,0,1,2,0,1,0,0,"Stable","LC","LC","LC","LC","LC","LC","LC","",""
"242",242,343694,"Gh5","Bloemfontein Dry Grassland","Grassland","Dry Highveld Grassland Bioregion",4949.6204,2822.8124,2657.316,2601.1988,2587.7844,2576.7836,2438.39,2372.8368,0.0871573328783732,299.8972,16.6728,270.6996,1751.0152,3.36,31.192,10.0665499999999,6.10379999999998,5.5003999999999,6.89568333333333,7.91477142857142,7.83426666666666,7.68839999999999,7468.02946436819,84,79,52,86,48,14,0.3,6,0,5,35,0,1,"Stable","EN","LC","LC","LC","LC","LC","LC","",""
"243",243,1112037,"Gh6","Central Free State Grassland","Grassland","Dry Highveld Grassland Bioregion",16012.8792,11245.5288,10771.6336,10567.1956,10518.9992,10488.2244,10062.24,5524.6548,0.0673427113538672,952.0916,125.2788,231.1864,4039.9004,33.7616,142.436,35.42615,19.7428,15.3874000000005,19.7456333333334,24.2261857142857,24.2176533333333,23.6657625,34032.5757924365,267,253,65,89,35,11,0.2,6,1,1,25,0,1,"Stable","VU","LC","LC","LC","LC","LC","LC","",""
"244",244,109213,"Gh7","Winburg Grassy Shrubland","Grassland","Dry Highveld Grassland Bioregion",1571.996,1336.2376,1312.9704,1292.2828,1287.9504,1286.2912,1258.2,285.7048,0.0373783824074401,67.99,4.8164,82.4076,117.4644,1.2776,11.7488,3.3349,1.49790000000002,0.829600000000028,0.969466666666667,1.56981428571428,1.60957333333333,1.560825,22930.5438903407,128,110,82,94,18,6,0.1,4,0,5,7,0,1,"Stable","VU","LC","LC","LC","LC","LC","LC","",""
"245",245,5592,"Gh8","Bloemfontein Karroid Shrubland","Grassland","Dry Highveld Grassland Bioregion",80.4732,70.726,69.058,66.4884,66.2388,66.1272,63.54,14.346,0.0650227639057772,4.2616,0.1436,3.3792,5.3864,0.2076,0.9676,0.366350000000001,0.0902999999999992,0.0557999999999979,0.0694999999999997,0.151342857142857,0.149573333333333,0.1437125,12604.4341810425,33,16,82,90,18,10,0.2,5,0,4,7,0,1,"Stable","EN","EN","LC","LC","LC","LC","LC","",""
"246",246,491271,"Gh9","Western Free State Clay Grassland","Grassland","Dry Highveld Grassland Bioregion",7074.2988,5532.4084,5409.424,5344.6688,5321.9628,5306.868,5180,1767.4308,0.0407671277485588,446.4376,33.4216,34.7116,1210.5596,14.7564,27.544,12.8194999999999,9.4502,7.54739999999993,5.12435000000001,6.70498571428571,7.01485333333333,7.0481375,15420.7350370687,134,121,75,94,25,6,0.1,6,0,0,17,0,0,"Stable","EN","LC","LC","LC","LC","LC","LC","",""
"247",247,296371,"Gm1","Zastron Moist Grassland","Grassland","Mesic Highveld Grassland Bioregion",4268.2128,2955.1312,2869.6244,2828.3336,2819.9272,2813.2816,2733.49,1454.9312,0.0480011175138349,201.1896,16.7876,129.082,1087.0148,1.0516,19.8056,7.04285000000004,3.76300000000003,3.32280000000014,3.56278333333332,4.52848571428571,4.50679999999999,4.4328,11922.5318252494,99,94,66,92,34,8,0.2,5,0,3,25,0,0,"Stable","EN","LC","LC","LC","LC","LC","LC","",""
"248",248,75917,"Gm10","Egoli Granite Grassland","Grassland","Mesic Highveld Grassland Bioregion",1093.2148,320.4984,244.7372,191.4284,187.4224,183.0748,105.77,910.14,0.42878092371132,140.5364,4.3488,678.5808,50.52,10.0536,26.1004,7.7078,2.0884,2.1738,3.15671666666667,4.60964285714286,4.43586666666667,4.2944875,1201.3795282804,21,18,17,33,83,67,1.3,13,0,62,5,1,2,"Decline","CR","EN","EN","EN","CR","EN","CR","CR","B1i"
